index,state,year,gas_consumption (BBtu),coal_consumption (BBtu),renewable_consumption (BBtu),petroleum_consumption (BBtu),nuclear_consumption (BBtu),expenditures (M dollars),price (dollars per MBtu)
296,OK,2006,644381.0,384418.0,54844.0,583533.0,0.0,16329.9,16.46
297,OR,2006,229731.0,26895.0,438058.0,381213.0,0.0,12219.4,16.91
298,PA,2006,684695.0,1499292.0,119645.0,1430279.0,785731.0,46149.4,17.57
299,RI,2006,78517.0,49.0,5429.0,90465.0,0.0,3476.4,22.56
300,SC,2006,181895.0,432220.0,100539.0,551756.0,530071.0,16951.0,16.12
301,SD,2006,40861.0,39570.0,71514.0,116224.0,0.0,3188.0,16.84
302,TN,2006,230047.0,677174.0,151732.0,785896.0,257523.0,23803.8,16.38
303,TX,2006,3544789.0,1610301.0,193518.0,6086196.0,430593.0,136021.7,16.78
304,UT,2006,197894.0,382757.0,15066.0,310505.0,0.0,8294.6,15.88
305,VA,2006,283456.0,433606.0,133344.0,958756.0,287938.0,27851.1,16.63
306,VT,2006,8062.0,27.0,27854.0,88725.0,53287.0,2533.6,21.03
307,WA,2006,271034.0,69150.0,937172.0,795563.0,97341.0,21188.4,16.46
308,WI,2006,376559.0,462732.0,140855.0,589851.0,127657.0,20666.4,16.75
309,WV,2006,126316.0,958880.0,28884.0,236344.0,0.0,7044.4,14.39
310,WY,2006,112929.0,489325.0,19573.0,166896.0,0.0,4276.9,14.55
311,US,2006,22225318.0,22444214.0,6636591.0,39743329.0,8214626.0,1158820.6,17.4
312,AK,2007,372186.0,13662.0,14286.0,323089.0,0.0,6272.0,17.94
313,AL,2007,430649.0,888436.0,229491.0,601179.0,360036.0,21315.1,16.06
314,AR,2007,229610.0,275037.0,121766.0,359757.0,162434.0,12200.2,16.68
315,AZ,2007,401992.0,438524.0,97679.0,571417.0,280920.0,20137.4,20.87
316,CA,2007,2467545.0,66495.0,707404.0,3795097.0,375427.0,121101.0,20.15
317,CO,2007,512841.0,388586.0,50616.0,513431.0,0.0,17030.5,17.06
318,CT,2007,183604.0,39931.0,36171.0,377002.0,171874.0,15146.3,25.31
