state,year,gas_generation,gas_consumption,coal_generation,coal_consumption,oil_generation,oil_consumption,nuclear_generation,nuclear_consumption,renewable_generation,renewable_consumption,expenditures (M dollars),price (dollars per MBtu)
ME,2005,0,64818,0,7059,0,263938,0,0,159674,160078,5619.3,14.89
MI,2005,270311,927535,0,799463,33257,978894,343048,343048,116821,130906,32127.3,14.53
MN,2005,0,372082,0,379114,0,700917,133948,133948,142459,123801,18259.1,14.45
MO,2005,0,273386,12954,835663,499,741961,83807,83807,52554,54637,19679,15.12
MS,2005,77573,310713,36231,176286,102631,455899,105172,105172,62678,62951,11395.5,15.37
MT,2005,114001,71089,726845,199495,190165,182921,0,0,113989,114898,4036.5,14.89
NC,2005,0,237525,0,811939,0,947056,417249,417249,145275,147480,27966.3,16.51
ND,2005,67863,49643,392566,431133,206915,136531,0,0,23400,22847,3123.2,10.5
NE,2005,1183,120125,0,228667,13966,228762,91856,91856,94833,51713,6448,14.69
NH,2005,0,72934,0,44169,0,190420,98682,98682,41288,42485,4602.9,18.46
NJ,2005,0,625429,0,125332,0,1225835,327604,327604,19937,29321,30945.9,16.31
NM,2005,1828036,225352,536980,317916,353585,254624,0,0,24068,23591,6403.3,16.54
NV,2005,5,236007,0,197799,2593,275627,0,0,34479,38191,8493,18.01
NY,2005,56560,1107206,0,256879,1172,1807239,442937,442937,365538,374254,56292,19.01
OH,2005,87155,860874,606427,1481045,32816,1280172,154481,154481,54495,73750,41386.2,15.39
OK,2005,1824461,600011,39664,397379,355320,557797,0,0,61329,65251,14247.8,14.83
OR,2005,468,239539,0,35624,0,374572,0,0,364066,368234,10720.1,15.26
PA,2005,176552,719117,1607811,1490836,14268,1498536,796157,796157,104224,109625,42406.8,15.66
RI,2005,0,82460,0,76,0,97180,0,0,879,1923,3098.9,19.02
SC,2005,0,178308,0,431086,0,547413,554544,554544,104205,105466,15556.8,14.93
SD,2005,999,42848,0,36952,8085,118214,0,0,93723,61504,2910.6,15.18
TN,2005,2277,238400,82083,657711,1879,782703,290153,290153,167074,174097,21504,14.65
TX,2005,5973867,3621139,595612,1627863,2277086,5987815,398994,398994,138300,140202,118064.4,14.72
UT,2005,321479,168770,554221,405546,96703,287599,0,0,13607,15773,6980.2,13.73
VA,2005,92154,311537,716557,458452,151,998762,291357,291357,127185,132464,25908.1,14.98
VT,2005,0,8396,0,25,0,90539,42491,42491,24325,24499,2296.9,18.66
WA,2005,0,272167,82685,112284,0,768653,86016,86016,807731,815363,18344,14.99
WI,2005,0,415583,0,522521,0,596603,103535,103535,144880,145127,19225.8,15.08
WV,2005,250088,124984,3848482,959657,9837,231304,0,0,28331,28742,6390.2,13.24
WY,2005,1811903,112863,7019843,490940,300266,155289,0,0,19105,19291,3610.7,12.94
US,2005,20900370,22567132,23183084,22793450,10974163,40227276,8160810,8160810,6219077,6231821,1045730.4,15.57
AK,2006,497073,375719,22230,14981,1568790,342272,0,0,13298,13481,6118.4,16.61
AL,2006,326288,402044,443032,886678,43726,611265,332992,332992,266153,266931,20165.3,14.96
AR,2006,278724,240885,516,256907,34498,358679,158952,158952,100949,100633,11450.5,15.78
AZ,2006,623,365230,179356,431985,319,582623,250568,250568,80771,95745,18868.5,19.7
CA,2006,351706,2375929,0,67017,1293487,3786528,333488,333488,822155,897576,115739.4,19.4
CO,2006,1295490,458911,805711,394348,142106,506709,0,0,45458,42229,16309.6,16.94
CT,2006,0,175870,0,45722,0,391609,173111,173111,25700,35689,13711.2,23.09
DC,2006,0,29775,0,0,0,22535,0,0,51,619,2161.3,24.03
DE,2006,0,44787,0,56625,0,122657,0,0,870,3619,3421.5,19.76
FL,2006,3501,917468,0,696215,13688,2018975,327934,327934,186848,192085,58757.6,20.75
GA,2006,0,433920,0,892732,0,1089023,333981,333981,207730,210818,34265.7,16.45
HI,2006,0,179,0,16102,0,295474,0,0,13998,15528,5729.1,24.33
IA,2006,0,207162,0,435187,0,435701,53171,53171,271182,142841,13544.5,15.59
ID,2006,0,79041,0,8212,0,165353,0,0,146507,147673,5076.3,15.07
IL,2006,236,896138,740927,1045398,59879,1340467,982498,982498,136525,109454,42631,15.91
IN,2006,2971,499753,783367,1587100,10283,860450,0,0,48968,55594,27080.2,13.91
KS,2006,424422,269274,9591,364212,206874,351672,97570,97570,39697,28423,10508.3,16.19
KY,2006,101101,217166,3000879,1023263,13572,699444,0,0,62393,70058,18136.5,15
LA,2006,1571921,1346690,57533,265214,426990,2127341,174634,174634,149821,150707,40601,14.25
MA,2006,0,378026,0,112173,0,648398,60832,60832,45553,62215,24313.7,23.41
MD,2006,50,189179,122170,324657,0,538678,144320,144320,45594,59415,19403.3,20.02
ME,2006,0,67557,0,6618,0,235253,0,0,152339,152966,6214.9,17.13
MI,2006,271909,816993,0,773595,33924,926618,303305,303305,117111,130017,34457,16.66
MN,2006,0,358198,0,370814,0,680945,137569,137569,164929,129807,19840.6,16.08
MO,2006,0,257924,8549,829054,505,736536,105567,105567,45213,43545,21411.9,16.67
MS,2006,84536,315909,38844,190057,100665,469598,108718,108718,63223,63632,13028.1,16.98
MT,2006,116906,75135,754967,194307,210505,194283,0,0,122239,123334,4684,16.38
NC,2006,0,230169,0,777871,0,918121,417016,417016,136769,139856,30080.3,18.16
ND,2006,71364,50007,397481,414838,229628,136542,0,0,26086,25802,3404.8,11.36
NE,2006,1214,131424,0,227444,13415,228780,93943,93943,103072,55259,7216.7,15.94
NH,2006,0,64644,0,44807,0,167795,98067,98067,33103,36022,4994.9,21.84
NJ,2006,0,566724,0,116093,0,1175190,339846,339846,22080,47800,34337.7,19.02
NM,2006,1780567,227661,485090,316221,344822,268257,0,0,29384,28385,7181.5,18.35
NV,2006,5,257595,0,84225,2471,291217,0,0,38352,41987,9958.6,20.05
NY,2006,57156,1120196,0,256345,1810,1556773,440606,440606,378622,401535,58973.5,21.14
OH,2006,89688,770872,557935,1450797,31546,1289366,175798,175798,55793,77290,44539.7,17.14
OK,2006,1880459,644381,43052,384418,372569,583533,0,0,50325,54844,16329.9,16.46
OR,2006,641,229731,0,26895,0,381213,0,0,433010,438058,12219.4,16.91
PA,2006,184081,684695,1583197,1499292,15016,1430279,785731,785731,107632,119645,46149.4,17.57
RI,2006,0,78517,0,49,0,90465,0,0,2629,5429,3476.4,22.56
SC,2006,0,181895,0,432220,0,551756,530071,530071,100251,100539,16951,16.12
SD,2006,966,40861,0,39570,8062,116224,0,0,114833,71514,3188,16.84
TN,2006,2764,230047,71957,677174,1114,785896,257523,257523,143513,151732,23803.8,16.38
TX,2006,6249274,3544789,593496,1610301,2276390,6086196,430593,430593,154257,193518,136021.7,16.78
UT,2006,372099,197894,593321,382757,103977,310505,0,0,13202,15066,8294.6,15.88
VA,2006,106530,283456,768443,433606,99,958756,287938,287938,119684,133344,27851.1,16.63
VT,2006,0,8062,0,27,0,88725,53287,53287,27595,27854,2533.6,21.03
WA,2006,0,271034,40268,69150,0,795563,97341,97341,928254,937172,21188.4,16.46
WI,2006,0,376559,0,462732,0,589851,127657,127657,144625,140855,20666.4,16.75
WV,2006,265874,126316,3802035,958880,10011,236344,0,0,28268,28884,7044.4,14.39
